Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"SportSG, NSAs, sports academies, schools and coaches should conduct more sharing sessions and provide more guidance for athletes and their parents on the college pathway. This will allow parents and athletes to make considered plans in developing their proficiency in their sport. The college pathway could provide a stronger pipeline of athletes in several sports that Singapore has potential to excel in, at major games.",33,752,2023-07-06-T-013-S-00752
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"My second suggestion is that the Singapore Sports School should expand its enrolment of students beyond the nine ""academy sports"" and provide a study-and-train environment for more student athletes who can demonstrate their interest and potential to compete at an international level in their sport.",34,753,2023-07-06-T-013-S-00753
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"To make this successful, the Sports School and SportSG need to better market the benefits of their sports and academic programmes to prospective students. The Sports School can arrange more sharing sessions at various primary schools nationwide, in addition to the existing Sports School open house. It could also invite the high-performing athletes in primary schools for holiday camps at the Sports School during the school holidays. These will enable the young athletes and parents to better understand and familiarise themselves with the Sports School. The Sports School will then be able to better attract a critical mass of students in each sport that will, in turn, make the school more attractive to prospective students.",35,754,2023-07-06-T-013-S-00754
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"Third, despite interest in sports, the local media should play a bigger role in featuring local athletes in international competitions.",36,755,2023-07-06-T-013-S-00755
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"When Singaporeans turn on their television sets to watch sports, they seldom see their compatriots competing. In fact, it is so rare to see Singaporeans in world-class sports competitions that when it does happen, like when Loh Kean Yew won the badminton world championships in 2021, many of us specifically tuned in to watch them. Unfortunately, in the case of Loh Kean Yew's amazing win, it was so unexpected that even our public broadcaster did not make preparations to broadcast the final match live to Singaporeans.",37,756,2023-07-06-T-013-S-00756
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"Matches featuring local athletes in the advanced stages of international competitions should be telecast live on free-to-air television or live-streamed online. During major games, all the matches and races where Team Singapore athletes are competing in should be uploaded to an online video platform like MeWatch or YouTube. There should not just be a daily highlights programme which features a few athletes in action. The media features could include interviews with high-performance athletes sharing their insights about their day-to-day schedules and training. All these will spark interest in the various sports among athletes, fans and commercial sponsors.",38,757,2023-07-06-T-013-S-00757
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),My fourth and final suggestion is to parents of athletes and the athletes themselves.,39,758,2023-07-06-T-013-S-00758
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"Parents have an out-sized influence on their children's sporting ambitions and progress, from a very young age through their growing years. If you are a parent of a talented and athletic youngster, do take the time to listen to and understand your child's motivations and dreams, assess whether they truly love their sport and do not push them to excel in a sport just to ""DSA"" into a good school or, worse, live your own dreams vicariously through them. I say this as a reminder to myself, too.",40,759,2023-07-06-T-013-S-00759
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"Most athletes will only have the intrinsic motivation to push themselves to reach the pinnacle of their arena if they genuinely enjoy participating in the sport. Your child must know that you love them, regardless of their results on the field.",41,760,2023-07-06-T-013-S-00760
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"If your child has aspirations to become a world-class athlete, encourage them to pursue their dreams, take the time to find out the available pathways and support them within your means. The path will be less well-trodden than the ones most of their peers are taking and there is no guarantee of success. It is, therefore, important to focus on enjoying the journey, not just the destination.",42,761,2023-07-06-T-013-S-00761
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),"In conclusion, Madam, sport has the potential to rally our nation together behind a common cause. When Singaporeans cheer in support of our sportsmen and women, listen to Majulah Singapura playing at the podium or see Singaporean athletes giving their all on the field, in the pool or on the court, we all feel an immense rush of pride in our nation. Yet, for a nation as wealthy and as diverse as Singapore, our record of performance in sports on the world stage leaves much to be desired.",43,762,2023-07-06-T-013-S-00762
2023-07-06-T-013,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied),I have outlined four suggestions aimed at improving Singapore's sporting ecosystem to build a stronger and more sustainable pipeline of high-performance athletes in Singapore. This will help us take steps towards realising our goals for sporting success over the coming decades and for many decades to come. I strongly support the Motion standing in the names of my hon friends Assoc Prof Jamus Lim and Mr Muhamad Faisal Abdul Manap.,44,763,2023-07-06-T-013-S-00763
2023-07-06-T-013,Deputy Speaker,Mdm Deputy Speaker,Mr Melvin Yong.,1,764,2023-07-06-T-013-S-00764
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Mdm Deputy Speaker, thank you for allowing me to join in this debate. My speech will cover the following four points  first, I support the Motion where we acknowledge the hard work by our athletes and our para-athletes; second, I will highlight why broad-based accessible programming to encourage more people to participate in sports is key in building up our talent pool for high-performance sports; third, I will speak on the need to ensure inclusivity through sports; and fourth, as a lifelong football fan, I hope to offer some suggestions for Singapore's football to, once again, reach the heights of the 1980s and 1990s.",1,765,2023-07-06-T-013-S-00765
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"Madam, I would like to begin by congratulating our TeamSG athletes and para-athletes for their commendable results at this year’s Southeast Asian Games and the ASEAN Para Games. TeamSG won a total of 158 medals at the SEA Games while our para-athletes brought home a total of 44 medals. This was our second-best away performance of all time, behind the 2017 ASEAN Para Games.",2,766,2023-07-06-T-013-S-00766
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"While news about our best-performing athletes and para-athletes, especially those who have consecutively broken records, might dominate news headlines and deservedly generate the most hype, we must also not forget the rest of our athletes who did not win medals. Every athlete trains hard and they sacrifice their time with family and friends with every intention of doing their best for themselves and for the country they represent. They were not in the competitions just to make up the numbers.",3,767,2023-07-06-T-013-S-00767
2023-07-06-T-013,Melvin Yong Yik Chye,Mr Melvin Yong Yik Chye (Radin Mas),"The amended Motion, therefore, acknowledges the hard work, blood, sweat and tears of our TeamSG athletes, both past and present.",4,768,2023-07-06-T-013-S-00768
